senator_name,State,St.Abrv,Party
LAMAR ALEXANDER,Tennessee,TN,R
KELLY AYOTTE,New Hampshire,NH,R
TAMMY BALDWIN,Wisconsin,WI,D
JOHN BARRASSO,Wyoming,WY,R
MICHAEL BENNET,Colorado,CO,D
RICHARD BLUMENTHAL,Connecticut,CT,D
ROY BLUNT,Missouri,MO,R
CORY BOOKER,New Jersey,NJ,D
JOHN BOOZMAN,Arkansas,AR,R
BARBARA BOXER,California,CA,D
SHERROD BROWN,Ohio,OH,D
RICHARD BURR,North Carolina,NC,R
MARIA CANTWELL,Washington,WA,D
SHELLEY MOORE CAPITO,West Virginia,WV,R
BENJAMIN L CARDIN,Maryland,MD,D
THOMAS R. CARPER,Delaware,DE,D
"ROBERT CASEY, JR.",Pennsylvania,PA,D
BILL CASSIDY,Louisiana,LA,R
SAXBY CHAMBLISS,Georgia,GA,R
DANIEL R. COATS,Indiana,IN,R
THAD COCHRAN,Mississippi,MS,R
SUSAN M. COLLINS,Maine,ME,R
CHRISTOPHER A. COONS,Delaware,DE,D
BOB CORKER,Tennessee,TN,R
JOHN CORNYN,Texas,TX,R
TOM COTTON,Arkansas,AR,R
MICHAEL D. CRAPO,Idaho,ID,R
TED CRUZ,Texas,TX,R
STEVE DAINES,Montana,MT,R
JOE DONNELLY,Indiana,IN,D
RICHARD J. DURBIN,Illinois,IL,D
MICHAEL B. ENZI,Wyoming,WY,R
JONI ERNST,Iowa,IA,R
DIANNE FEINSTEIN,California,CA,D
DEB FISCHER,Nebraska,NE,R
JEFF FLAKE,Arizona,AZ,R
AL FRANKEN,Minnesota,MN,D
CORY GARDNER,Colorado,CO,R
KIRSTEN GILLIBRAND,New York,NY,D
LINDSEY GRAHAM,South Carolina,SC,R
CHARLES E. GRASSLEY,Iowa,IA,R
ORRIN G. HATCH,Utah,UT,R
MARTIN HEINRICH,New Mexico,NM,D
HEIDI HEITKAMP,North Dakota,ND,D
DEAN HELLER,Nevada,NV,R
MAZIE HIRONO,Hawaii,HI,D
JOHN HOEVEN,North Dakota,ND,R
JAMES M. INHOFE,Oklahoma,OK,R
JOHNNY ISAKSON,Georgia,GA,R
RON JOHNSON,Wisconsin,WI,R
TIM KAINE,Virginia,VA,D
ANGUS KING,Maine,ME,I
MARK KIRK,Illinois,IL,R
AMY KLOBUCHAR,Minnesota,MN,D
MARY L. LANDRIEU,Louisiana,LA,D
JAMES LANKFORD,Oklahoma,OK,R
PATRICK J. LEAHY,Vermont,VT,D
MIKE LEE,Utah,UT,R
CARL LEVIN,Michigan,MI,D
JOE MANCHIN,West Virginia,WV,D
EDWARD MARKEY,Massachusetts,MA,D
JOHN MCCAIN,Arizona,AZ,R
CLAIRE MCCASKILL,Missouri,MO,D
"A. MITCHELL MCCONNELL, JR.",Kentucky,KY,R
ROBERT MENENDEZ,New Jersey,NJ,D
JEFF MERKLEY,Oregon,OR,D
BARBARA A. MIKULSKI,Maryland,MD,D
JERRY MORAN,Kansas,KS,R
LISA MURKOWSKI,Alaska,AK,R
CHRIS MURPHY,Connecticut,CT,D
PATTY MURRAY,Washington,WA,D
BILL NELSON,Florida,FL,D
RAND PAUL,Kentucky,KY,R
DAVID PERDUE,Georgia,GA,R
GARY PETERS,Michigan,MI,D
ROB PORTMAN,Ohio,OH,R
JOHN F. REED,Rhode Island,RI,D
HARRY REID,Nevada,NV,D
JAMES E. RISCH,Idaho,ID,R
PAT ROBERTS,Kansas,KS,R
MIKE ROUNDS,South Dakota,SD,R
MARCO RUBIO,Florida,FL,R
BERNARD SANDERS,Vermont,VT,I
BEN SASSE,Nebraska,NE,R
BRIAN SCHATZ,Hawaii,HI,D
CHARLES E. SCHUMER,New York,NY,D
TIM SCOTT,South Carolina,SC,R
"JEFFERSON B. SESSIONS, III",Alabama,AL,R
JEANNE SHAHEEN,New Hampshire,NH,D
RICHARD C. SHELBY,Alabama,AL,R
DEBBIE A. STABENOW,Michigan,MI,D
DAN SULLIVAN,Alaska,AL,R
JON TESTER,Montana,MT,D
JOHN R. THUNE,South Dakota,SD,R
THOM TILLIS,North Carolina,NC,R
PATRICK J.TOOMEY,Pennsylvania,PA,R
TOM UDALL (NM),New Mexico,NM,D
DAVID VITTER,Louisiana,LA,R
MARK WARNER,Virginia,VA,D
ELIZABETH WARREN,Massachusetts,MA,D
SHELDON WHITEHOUSE,Rhode Island,RI,D
ROGER WICKER,Mississippi,MS,R
RON WYDEN,Oregon,OR,D
