"senator_name","start_date","end_date","description","amount","salary_flag","State","St.Abrv","Party"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"SYSTEMS ADMINISTRATOR",10098.48,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"CHIEF OF STAFF",84729.48,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"LEGISLATIVE DIRECTOR",60374.92,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD REPRESENTATIVE ",6805.54,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"EXECUTIVE DIRECTOR",1500,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD ASSISTANT",25744.96,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"DEPUTY CHIEF OF STAFF / COUNSEL",58579.92,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"ARCHIVIST",40955.4,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"SPEECH WRITER",44035.92,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD ASSISTANT",23713.28,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD ASSISTANT ",4428.55,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"STATE DIRECTOR",84729.48,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD REPRESENTATIVE",37854.92,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"STATE OFFICE MANAGER",33265,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"COUNSEL",59999.96,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD REPRESENTATIVE",42359.92,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"CONSTITUENT SERVICE REPRESENTATIVE",17000,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD REPRESENTATIVE",41486.44,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"CONSTITUENT SERVICES REPRESENTATIVE",23439.96,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"COMMUNICATIONS DIRECTOR",64085.48,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD REPRESENTATIVE",41999.96,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"DIRECTOR OF CONSTITUENT SERVICES",47157.4,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD REPRESENTATIVE",28999.96,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD ASSISTANT",17159.92,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"PRESS SECRETARY",32750,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"LEGISLATIVE AIDE ",11500,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"LEGISLATIVE ASSISTANT",36678.75,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD REPRESENTATIVE ",28222.19,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"DIRECTOR OF PROJECTS & POLICY ADVISOR",52849.96,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"LEGISLATIVE ASSISTANT",36981.87,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"LEGISLATIVE CORRESPONDENT",22662.44,0,"Kentucky","KY","R"
