"senator_name","State","description","amount","Total Expenses","Number of Expenses","St.Abrv","Party"
"A. MITCHELL MCCONNELL, JR.","Kentucky","ADMINISTRATIVE PERSONNEL",27499.92,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","SPEECH WRITER",44035.92,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","STAFF TRANSPORTATION",36150.36,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","ARCHIVIST",40955.4,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","ASSISTANTS",252437.73,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","SYSTEMS ADMINISTRATOR",10098.48,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","CONSTITUENT PERSONNEL",69356.62,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","INTERNS",41392.05,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","CHIEF OF STAFF",84729.48,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","LEGISLATIVE AIDE",11500,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","PER DIEM",4247.79,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","COUNSEL",118579.88,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","SENATOR TRANSPORTATION",12326.69,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","DIRECTORS",310697.24,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","PRESS SECRETARIES",32750,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","STATE OFFICE MANAGER",33265,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","PHOTO STUDIO CERTIFICATION",132.5,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","FIELD REPRESENTATIVE",227728.93,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","RECORDING STUDIO CERTIFICATION",2090.7,1452824.96,210,"KY","R"
"A. MITCHELL MCCONNELL, JR.","Kentucky","LEGISLATIVE CORRESPONDENT",92850.27,1452824.96,210,"KY","R"
"AL FRANKEN","Minnesota","ADVISORS",73837.5,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","RECORDING STUDIO CERTIFICATION",216.6,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","ASSISTANTS",154945.86,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","SENATOR TRANSPORTATION",5961.3,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","CENTRAL MINNESOTA FIELD REPRESENTATIVE",8130.49,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","CERTIFIED PURCHASED EQUIPMENT",84.99,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","INCIDENTALS",161.79,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","CHIEF OF STAFF",113721.57,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","STAFF TRANSPORTATION",51071.65,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","CONSTITUENT PERSONNEL",129141.67,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","SYSTEMS ADMINISTRATION",38499.96,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","CORRESPONDENCE MANAGER",23589.99,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","COUNSEL",84399.9,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","LEGISLATIVE CORRESPONDENT",22089.99,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","DIRECTORS",431964.5,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","NORTHEAST FIELD REPRESENTATIVE",26999.97,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","FEES AND OTHER CHARGES",110,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","NW FIELD REPRESENTATIVE",4006.14,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","FIELD REPRESENTATIVE",156841.02,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","PER DIEM",23516.67,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","LEGISLATIVE AIDE",48905.97,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","INTERNS",12490.12,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","TRAINING/CONFERENCE/REGISTRATION FEES",65,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","INTERPRETING SERVICES",563.34,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","SENIOR PERSONNEL",46134.96,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","PROFESSIONAL STAFF MEMBER",216.67,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","PHOTO STUDIO CERTIFICATION",1129.75,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","OTHER MISCELLANEOUS SERVICES",12000,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","PRESS SECRETARIES",60958.44,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","NORTHWEST MINNESOTA REGIONAL FIELD REPRESENTATIVE",19109.41,1577990.17,495,"MN","D"
"AL FRANKEN","Minnesota","SOUTHERN MN FIELD REPRESENTATIVE",27124.95,1577990.17,495,"MN","D"
"AMY KLOBUCHAR","Minnesota","INTERNS",25280.35,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","INCIDENTALS",249.23,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","PER DIEM",11715.48,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","FEES AND OTHER CHARGES",240,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","LEGISLATIVE CORRESPONDENT",25763.42,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","DIRECTORS",667705.9,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","PRESS SECRETARIES",51427.64,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","LEGISLATIVE AIDE",41606.64,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","PHOTO STUDIO CERTIFICATION",64.6,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","PURCHASED SOFTWARE (EXPENDABLE)",1044,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","ADVISORS",16322.17,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","RECORDING STUDIO CERTIFICATION",154.8,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","COUNSEL",12772.19,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","SENATOR TRANSPORTATION",9176.64,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","CERTIFIED PURCHASED EQUIPMENT",398,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","SENIOR PERSONNEL",81198.5,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","ASSISTANTS",256767.3,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","CHIEF OF STAFF",151991.72,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","STAFF TRANSPORTATION",36669.52,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","CONSTITUENT PERSONNEL",96732.48,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","SYSTEMS ADMINISTRATOR",38522.94,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","PURCHASED EQUIPMENT (EXPENDABLE)",9.99,1525903.23,594,"MN","D"
"AMY KLOBUCHAR","Minnesota","TRAINING/CONFERENCE/REGISTRATION FEES",89.72,1525903.23,594,"MN","D"
"ANGUS KING","Maine","ADMINISTRATIVE PERSONNEL",44439.96,1492982.82,499,"ME","I"
"ANGUS KING","Maine","ADVISORS",47767.3,1492982.82,499,"ME","I"
"ANGUS KING","Maine","ASSISTANTS",240188.21,1492982.82,499,"ME","I"
"ANGUS KING","Maine","SENIOR PERSONNEL",51762.48,1492982.82,499,"ME","I"
"ANGUS KING","Maine","INCIDENTALS",922.34,1492982.82,499,"ME","I"
"ANGUS KING","Maine","CERTIFIED PURCHASED EQUIPMENT",67.48,1492982.82,499,"ME","I"
"ANGUS KING","Maine","CHIEF OF STAFF",103237.16,1492982.82,499,"ME","I"
"ANGUS KING","Maine","PURCHASED EQUIPMENT (EXPENDABLE)",3259.63,1492982.82,499,"ME","I"
"ANGUS KING","Maine","CONSTITUENT PERSONNEL",144207.6,1492982.82,499,"ME","I"
"ANGUS KING","Maine","STATE SCHEDULER",23418.83,1492982.82,499,"ME","I"
"ANGUS KING","Maine","LEGISLATIVE CORRESPONDENT",34342.84,1492982.82,499,"ME","I"
"ANGUS KING","Maine","DIRECTORS",271008.84,1492982.82,499,"ME","I"
"ANGUS KING","Maine","REGIONAL REPRESENTATIVE",204463.8,1492982.82,499,"ME","I"
"ANGUS KING","Maine","REGIONAL REPRESENTATIVE OF SENATOR",36234,1492982.82,499,"ME","I"
"ANGUS KING","Maine","PER DIEM",24813.99,1492982.82,499,"ME","I"
