State,Latitude,Longitude,ABBREVIATION,GEOID
Alabama,32.806671,-86.79113,AL,01
Alaska,61.370716,-152.404419,AK,02
Arizona,33.729759,-111.431221,AZ,04
Arkansas,34.969704,-92.373123,AR,05
California,36.116203,-119.681564,CA,06
Colorado,39.059811,-105.311104,CO,08
Connecticut,41.597782,-72.755371,CT,09
Delaware,39.318523,-75.507141,DE,10
District of Columbia,38.897438,-77.026817,DC,11
Florida,27.766279,-81.686783,FL,12
Georgia,33.040619,-83.643074,GA,13
Hawaii,21.094318,-157.498337,HI,15
Idaho,44.240459,-114.478828,ID,16
Illinois,40.349457,-88.986137,IL,17
Indiana,39.849426,-86.258278,IN,18
Iowa,42.011539,-93.210526,IA,19
Kansas,38.5266,-96.726486,KS,20
Kentucky,37.66814,-84.670067,KY,21
Louisiana,31.169546,-91.867805,LA,22
Maine,44.693947,-69.381927,ME,23
Maryland,39.063946,-76.802101,MD,24
Massachusetts,42.230171,-71.530106,MA,25
Michigan,43.326618,-84.536095,MI,26
Minnesota,45.694454,-93.900192,MN,27
Mississippi,32.741646,-89.678696,MS,28
Missouri,38.456085,-92.288368,MO,29
Montana,46.921925,-110.454353,MT,30
Nebraska,41.12537,-98.268082,NE,31
Nevada,38.313515,-117.055374,NV,32
New Hampshire,43.452492,-71.563896,NH,33
New Jersey,40.298904,-74.521011,NJ,34
New Mexico,34.840515,-106.248482,NM,35
New York,42.165726,-74.948051,NY,36
North Carolina,35.630066,-79.806419,NC,37
North Dakota,47.528912,-99.784012,ND,38
Ohio,40.388783,-82.764915,OH,39
Oklahoma,35.565342,-96.928917,OK,40
Oregon,44.572021,-122.070938,OR,41
Pennsylvania,40.590752,-77.209755,PA,42
Rhode Island,41.680893,-71.51178,RI,44
South Carolina,33.856892,-80.945007,SC,45
South Dakota,44.299782,-99.438828,SD,46
Tennessee,35.747845,-86.692345,TN,47
Texas,31.054487,-97.563461,TX,48
Utah,40.150032,-111.862434,UT,49
Vermont,44.045876,-72.710686,VT,50
Virginia,37.769337,-78.169968,VA,51
Washington,47.400902,-121.490494,WA,53
West Virginia,38.491226,-80.954453,WV,54
Wisconsin,44.268543,-89.616508,WI,55
Wyoming,42.755966,-107.30249,WY,56
